APTI3;01/10/2021;-;Siderurgia;Reprovado;R$ 197,64;R$ 41.925,78;21113,20%;R$ 473,43;239,54%;11,98%;0,05;R$ 3.952,80;0,01;R$ 19.764,00;20,00%;14,75%;22,80%;79,07%;292,25%;0,59;0,01;0,15;2,29;86,58%;0; R$ -   
APTI4;01/10/2021;-;Siderurgia;Reprovado;R$ 3.500,00;R$ 34.430,86;883,74%;R$ 520,80;14,88%;13,84%;0,93;R$ 3.763,44;0,25;R$ 14.000,00;26,88%;14,75%;22,80%;79,07%;292,25%;0,59;0,01;2,71;2,29;86,58%;0,01; R$ -   
ARZZ3;01/10/2021;Novo Mercado;Consumo Cíclico | Setor Calçados;Reprovado;R$ 85,70;R$ 27,75;-67,62%;R$ 0,86;1,00%;35,95%;35,95;R$ 2,38;5,97;R$ 14,36;16,61%;8,62%;14,63%;49,30%;14,71%;26,39;0,09;5,29;1,55;14,70%;2,45;R$ 60.106.304,23
ATMP3;01/10/2021;-;-;Reprovado;R$ 4,93; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-0,88;-R$ 5,60;0,62;R$ 7,95;-70,45%;-8,60%;-23,80%;7,65%;-14,53%;-4,44;1,26;0,13;0,46;0,00%;0;R$ 180.311,50
ATOM3;01/10/2021;Tradicional;Outros;Reprovado;R$ 4,82;R$ 3,29;-31,83%;R$ 0,30;6,22%;53,12%;8,54;R$ 0,56;5,67;R$ 0,85;66,39%;42,95%;60,42%;100,00%;33,45%;7,75;-0,76;2,86;30,27;0,00%;0;R$ 148.391,82
AZEV3;01/10/2021;Tradicional;Construção Civil;Reprovado;R$ 4,70; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;1,6;R$ 2,94;-3,41;-R$ 1,38;-213,13%;358,22%;-217,35%;7,94%;1088,63%;1,46;0;17,39;1,06;164,18%;0,01;R$ 1.239.687,86
AZEV4;01/10/2021;Tradicional;Construção Civil;Reprovado;R$ 4,28; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;1,45;R$ 2,95;-3,1;-R$ 1,38;-213,79%;358,22%;-217,35%;7,94%;1088,63%;1,46;0;15,84;1,06;164,18%;0,01;R$ 3.752.198,50
AZUL4;01/10/2021;Nível 2;Companhias Aéreas;Reprovado;R$ 38,75; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-15,44;-R$ 2,51;-3,11;-R$ 12,46;20,14%;-18,22%;20,51%;6,85%;-52,21%;-16,05;0;8,06;0,65;0,00%;0;R$ 171.386.427,64
B3SA3;01/10/2021;Novo Mercado;Serviços Financeiros;Aprovado;R$ 13,12;R$ 7,98;-39,14%;R$ 0,96;7,31%;125,44%;17,16;R$ 0,76;3,54;R$ 3,71;20,63%;9,46%;13,91%;90,85%;45,35%;11,05;-0,36;7,78;1,59;16,29%;1,05;R$ 695.747.385,45
BAHI3;01/10/2021;-;-;Reprovado;R$ 15,95; R$ -   ;-100,00%; R$ -   ;0,00%;0,00%;-4,72;-R$ 3,38;1,36;R$ 11,73;-28,81%;-8,00%;-10,93%;39,46%;-18,95%;-19,51;0,11;0,89;0,32;0,00%;0;R$ 57.693,38
BALM3;01/10/2021;-;-;Reprovado;R$ 16,72;R$ 13,81;-17,39%;R$ 0,34;2,03%;47,81%;23,55;R$ 0,71;1,4;R$ 11,94;5,94%;3,33%;5,02%;53,56%;4,75%;10,75;-0,16;1,12;2,57;-13,19%;-1,79;R$ 11.666,56
BALM4;01/10/2021;-;-;Reprovado;R$ 13,65;R$ 13,83;1,31%;R$ 0,41;3,00%;57,69%;19,23;R$ 0,71;1,14;R$ 11,97;5,93%;3,33%;5,02%;53,56%;4,75%;10,75;-0,16;0,91;2,57;-13,19%;-1,46;R$ 33.252,20
BAUH4;01/10/2021;-;-;Reprovado;R$ 88,48;R$ 42,23;-52,27%; R$ -   ;0,00%;0,00%;20,75;R$ 4,26;4,76;R$ 18,59;22,94%;15,10%;15,49%;20,83%;11,86%;21,17;-0,15;2,46;1,05;32,17%;0,65;R$ 33.506,33
BAZA3;01/10/2021;Tradicional;Bancos;Reprovado;R$ 38,20;R$ 177,90;365,71%;R$ 2,60;6,80%;16,80%;2,47;R$ 15,47;0,42;R$ 90,95;17,00%;2,00%;0,00%;44,32%;49,27%;1,36;0;1,21;0;13,03%;0,19;R$ 34.471,70
BBAS3;01/10/2021;Novo Mercado;Bancos;Aprovado;R$ 29,55;R$ 76,49;158,86%;R$ 2,01;6,80%;36,24%;5,33;R$ 5,54;0,63;R$ 46,90;11,82%;0,83%;0,00%;41,25%;17,29%;5,16;0;0,92;14,02;2,46%;2,17;R$ 390.432.334,59
